Dia	TArmed	TArmax	TArmin	URmed	URmax	URmin	Pa	Chuva
63	26.63	33.70	19.90	48.83	82.00	23.00	955.65	0.00
64	26.68	34.10	19.70	48.54	80.00	20.00	955.57	0.00
65	26.46	34.30	21.70	56.75	84.00	21.00	955.70	1.40
66	23.45	29.70	19.80	76.92	91.00	50.00	956.03	10.00
67	25.15	32.10	20.50	67.17	88.00	34.00	955.56	8.00
68	26.03	33.00	20.50	61.54	88.00	32.00	955.64	0.00
69	26.33	33.20	18.70	51.29	87.00	25.00	955.84	0.00
70	25.92	33.60	18.40	52.67	89.00	25.00	956.33	0.00
71	25.03	32.60	19.20	57.71	82.00	27.00	956.56	0.00
72	26.20	33.00	21.70	60.50	81.00	32.00	955.35	0.00
73	26.83	33.20	21.30	54.17	84.00	28.00	955.40	0.00
74	27.42	34.50	22.20	47.46	67.00	25.00	955.88	0.00
75	27.49	33.80	23.30	53.42	68.00	30.00	956.46	0.00
76	26.05	32.70	23.20	63.92	85.00	36.00	956.44	7.80
77	26.84	34.90	20.70	48.54	73.00	22.00	954.78	0.00
78	26.34	33.50	21.10	60.96	82.00	35.00	954.05	0.20
79	25.06	32.00	21.70	71.04	87.00	36.00	954.50	2.80
80	26.70	33.30	22.70	57.58	83.00	31.00	954.40	0.00
81	26.98	34.10	21.00	47.38	77.00	20.00	954.42	0.00
82	27.39	34.10	22.30	45.88	63.00	24.00	954.08	0.00
83	27.50	34.20	20.10	44.42	83.00	15.00	954.48	0.00
84	27.17	34.70	21.60	53.88	89.00	25.00	955.51	17.00
85	25.78	33.10	21.80	70.38	91.00	37.00	955.76	7.60
86	26.30	33.60	21.30	58.88	89.00	26.00	955.40	0.00
87	26.28	32.80	20.30	52.29	80.00	27.00	955.17	0.00
88	26.75	33.90	20.30	52.88	80.00	25.00	955.69	0.00
89	27.07	33.40	23.00	56.17	77.00	28.00	957.14	0.00
90	27.74	34.50	21.80	50.13	77.00	25.00	957.52	0.00
91	28.05	34.60	20.80	44.42	80.00	18.00	957.32	0.00
92	27.85	34.90	21.30	47.25	78.00	21.00	956.13	0.00
93	26.94	33.50	20.50	49.71	82.00	25.00	955.89	0.00
94	26.35	31.80	21.90	56.42	74.00	35.00	955.70	0.00
95	24.83	33.20	21.30	70.00	88.00	35.00	955.99	2.40
96	25.85	31.90	20.20	58.71	86.00	34.00	955.38	0.00
97	26.90	34.20	21.20	57.79	84.00	27.00	954.72	0.00
98	27.05	34.50	22.60	57.58	72.00	30.00	954.52	0.20
99	27.18	33.10	22.30	50.67	80.00	22.00	954.42	0.00
100	27.50	34.10	21.50	50.63	77.00	21.00	954.25	0.00
101	27.40	33.70	23.10	49.63	76.00	24.00	956.03	0.00
102	26.74	33.60	20.30	45.33	79.00	19.00	957.20	0.00
103	26.33	33.50	19.80	47.96	75.00	22.00	956.30	0.00
104	27.13	34.00	20.40	48.38	78.00	24.00	955.77	0.00
105	27.40	34.10	21.40	48.79	82.00	25.00	955.29	0.00
106	27.21	33.60	21.90	48.88	70.00	27.00	955.68	0.00
107	28.26	36.10	22.20	48.83	77.00	20.00	955.12	0.40
108	28.17	34.50	23.00	47.67	72.00	25.00	956.45	0.00
109	26.97	33.30	21.80	48.00	75.00	21.00	956.90	0.00
110	25.74	32.50	21.30	61.88	77.00	38.00	955.42	0.00
111	25.93	30.60	22.00	60.25	85.00	38.00	955.23	0.00
112	27.52	33.50	22.00	48.88	75.00	29.00	955.93	0.00
113	28.95	35.80	22.40	42.21	74.00	17.00	956.16	0.00
114	29.25	35.90	22.50	43.83	74.00	19.00	955.63	0.00
115	28.58	35.10	21.80	43.00	77.00	18.00	955.23	0.00
116	28.08	34.90	22.10	44.58	75.00	17.00	955.64	0.00
117	27.46	34.30	21.50	46.00	75.00	19.00	955.52	0.00
118	26.88	34.00	20.50	41.25	79.00	16.00	955.06	0.00
119	26.31	33.80	19.00	34.88	71.00	12.00	954.85	0.00
120	27.06	33.50	20.70	42.50	71.00	22.00	955.21	0.00
121	27.38	34.40	20.40	39.75	71.00	19.00	955.70	0.00
122	27.96	34.80	21.40	42.92	72.00	22.00	956.00	0.00
123	28.29	34.30	23.00	44.50	66.00	23.00	956.40	0.00
124	25.85	31.00	21.50	55.92	78.00	38.00	957.88	0.00
125	24.20	27.50	20.30	60.38	78.00	49.00	957.97	0.00
126	25.59	31.50	20.00	49.67	80.00	29.00	957.06	0.00
127	26.49	33.20	19.60	47.00	79.00	25.00	956.73	0.00
128	26.35	33.00	20.40	52.79	76.00	30.00	957.72	0.00
129	25.93	32.50	20.60	47.08	77.00	24.00	957.89	0.00
130	26.12	33.60	18.40	45.75	79.00	19.00	956.43	1.00
131	26.55	33.40	20.00	48.25	78.00	26.00	956.15	0.00
132	27.65	33.80	22.20	42.13	62.00	23.00	956.45	0.00
133	27.48	34.30	20.80	41.21	75.00	18.00	955.58	0.00
134	27.48	34.70	21.10	42.67	78.00	18.00	955.14	0.00
135	27.55	34.00	20.90	45.17	82.00	21.00	955.40	0.00
136	27.26	33.80	20.40	44.88	78.00	21.00	956.02	0.00
137	27.38	33.90	21.20	47.42	75.00	25.00	956.41	0.00
138	27.47	33.70	21.40	48.13	79.00	25.00	956.01	0.00
139	25.27	32.10	21.00	56.43	74.00	29.00	956.61	0.00

